Carimbo de data/hora,"Ao prosseguir, você declara que leu e entendeu as informações acima e concorda em participar voluntariamente desta pesquisa.",1.  Você é?  ,  2. Você já perdeu algum objeto dentro do IFNMG?  ,"
3. Se sim, Conseguiu recuperar o objeto perdido?","4. Com que frequência você observa objetos perdidos no campus (salas, biblioteca, corredores etc.)?  ",5.  Você sabe se existe algum local ou setor específico para entregar ou buscar objetos perdidos no IFNMG? ,6. Você já encontrou algum objeto e não sabia onde devolver? ,"7. Na sua opinião, qual é a principal dificuldade no processo atual de achados e perdidos?  ",8.Quais funcionalidades você considera mais importantes em um sistema de achados e perdidos?  ,9.Deixe uma sugestão ou comentário sobre o processo de achados e perdidos no IFNMG:  
17/11/2025 19:05:48,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não,Sim,As duas primeiras alternativas ,,"Bom, não ter um controle ou registro dos objetos é bem ruim, e a divulgação sobre onde devolver praticamente não existe. Se tivesse um setor na instituição que cuidasse dessa parte de forma responsável, as pessoas conseguiriam achar seus objetos com mais facilidade. Dependendo do objeto, pode causar um grande prejuízo ao envolvido, como por exemplo: celulares, cartões de crédito, chaves, dentre outros."
17/11/2025 19:39:08,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Raramente,Não,Sim,Falta de interesse ou responsabilidade dos usuários,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 19:51:43,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Confirmação segura de devolução, Área pública com lista atualizada de objetos",.
17/11/2025 19:52:34,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 19:53:30,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado, Confirmação segura de devolução",
17/11/2025 19:55:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,Notificação quando um item for encontrado,
17/11/2025 19:56:15,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado",
17/11/2025 19:56:55,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Raramente,Não tenho certeza,Não,Falta de interesse ou responsabilidade dos usuários,Notificação quando um item for encontrado,
17/11/2025 19:58:57,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Às vezes,Sim,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:01:44,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Sim,Não,Falta de interesse ou responsabilidade dos usuários,"Cadastro de objetos encontrados, Confirmação segura de devolução",
17/11/2025 20:07:05,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Raramente,Sim,,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:09:37,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Não tenho certeza,Não,Falta de controle ou registro dos objetos,Notificação quando um item for encontrado,
17/11/2025 20:11:10,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:13:10,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,Cadastro de objetos encontrados,
17/11/2025 20:19:06,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não tenho certeza,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução","Geralmente quando perdemos as coisas postamos nos grupos do whatsapp, oque é muito bom, mas pegar esses objetos é oque torna difícil e muitas vezes não sabemos se o item foi encontrado e/ou devolvido para o seu legítimo dono"
17/11/2025 20:24:46,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Sim,Não,Falta de interesse ou responsabilidade dos usuários,Cadastro de objetos encontrados,Nada a declarar
17/11/2025 20:26:19,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Não tenho certeza,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Área pública com lista atualizada de objetos",
17/11/2025 20:40:25,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Sim,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
17/11/2025 20:48:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Raramente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 20:54:16,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Não tenho certeza,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
17/11/2025 21:01:17,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Não,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 21:07:11,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não tenho certeza,Não,Falta de interesse ou responsabilidade dos usuários,Notificação quando um item for encontrado,
17/11/2025 21:43:24,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução",
17/11/2025 22:05:34,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não tenho certeza,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
17/11/2025 23:19:46,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Não tenho certeza,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
18/11/2025 05:37:04,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Sim,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
18/11/2025 11:09:15,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Não tenho certeza,Sim,Duas primeiras alternativas. ,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
18/11/2025 11:16:15,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Raramente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução",
18/11/2025 11:17:03,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Raramente,Não,Não,Falta de divulgação sobre onde devolver ou buscar itens,Área pública com lista atualizada de objetos,
18/11/2025 11:21:19,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado, Confirmação segura de devolução",
18/11/2025 11:32:25,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Às vezes,Não tenho certeza,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado","Minha sugestão é que haja um setor específico na instituição, que divulgue quando um objeto for encontrado ou esteja perdido, pois isso garantiria que mais pessoas tivessem acesso ao seu próprio objeto. "
18/11/2025 11:34:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Quase sempre,Não,Sim,Falta de controle ou registro dos objetos,"Consulta de objetos perdidos, Notificação quando um item for encontrado",
18/11/2025 11:43:38,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Área pública com lista atualizada de objetos","Fazer uma lista sobre nos corredores do hospital veterinário, principalmente "
18/11/2025 13:29:33,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução, Área pública com lista atualizada de objetos",Que seja bem feito!
18/11/2025 14:01:22,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos","Não tem processo para falar a verdade, temos a boa vontade e caráter de cada um, que acha e publica no grupo do whatsapp do ifnmg ou entrega no almoxarifado e aí a pessoa vai lá e pega "
18/11/2025 19:37:01,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
18/11/2025 19:39:15,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado, Confirmação segura de devolução",
18/11/2025 19:42:36,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Às vezes,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Confirmação segura de devolução, Área pública com lista atualizada de objetos",Um mural virtual com fotos dos itens encontrados
18/11/2025 20:12:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Raramente,Sim,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução",
18/11/2025 23:57:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos",É urgente a necessidade de um processo mais formal
19/11/2025 09:07:37,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não tenho certeza,Não,Falta de controle ou registro dos objetos,Notificação quando um item for encontrado,Ter um grupo ou sistema que avisa tipo quando algo e encontrado exemplo eles manda que encontraram uma garrafa 
19/11/2025 10:02:41,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Não tenho certeza,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Área pública com lista atualizada de objetos",
19/11/2025 12:06:46,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado, Confirmação segura de devolução",
19/11/2025 12:09:39,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado","Para além de descuido do estudante é super compreensível que alguém esqueça algum objeto em algum momento, por distração ou pela correria que a carga horária geralmente demanda. Considero válida e positiva um meio de registro e controle desses itens, visto que facilita a busca de quem perdeu e possibilita a devolução de quem encontrou sem ter ciência de quem é o dono. Parabéns pela iniciativa, já é sucesso, seu Milton agradecerá."
19/11/2025 12:13:23,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Não,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
19/11/2025 12:17:00,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Sim,Sim,Falta de divulgação sobre onde devolver ou buscar itens,Notificação quando um item for encontrado,
19/11/2025 12:17:17,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Raramente,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
19/11/2025 12:19:30,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Às vezes,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Confirmação segura de devolução",
19/11/2025 12:21:33,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Raramente,Sim,Não,Falta de interesse ou responsabilidade dos usuários,Área pública com lista atualizada de objetos,.
19/11/2025 12:24:21,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
19/11/2025 12:34:05,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução",
19/11/2025 12:46:19,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução",
19/11/2025 12:50:43,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Quase sempre,Sim,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",Poderia ter uma divulgação de itens que já foram encontrados e ainda n foram buscados 
19/11/2025 13:05:58,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não tenho certeza,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
19/11/2025 13:18:36,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Raramente,Sim,Não,Falta de divulgação sobre onde devolver ou buscar itens,Notificação quando um item for encontrado,
19/11/2025 13:26:43,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Às vezes,Não tenho certeza,Não,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
19/11/2025 13:34:09,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Confirmação segura de devolução",
19/11/2025 13:45:50,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Às vezes,Sim,Sim,Falta de divulgação sobre onde devolver ou buscar itens,Notificação quando um item for encontrado,
19/11/2025 14:12:38,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Sim,Não,Falta de controle ou registro dos objetos,Área pública com lista atualizada de objetos,"Os alunos do campus são pessoas de bem, se encontram algo notificam quase imediatamente que encontram, o que facilita o processo de achar algo perdido."
19/11/2025 14:27:46,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Não tenho certeza,Sim,Falta de interesse ou responsabilidade dos usuários,"Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
19/11/2025 14:34:53,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Frequentemente,Sim,Não,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos, Filtro avançado de busca (por categoria, data, local encontrado, cor, marca etc.),Upload de fotos do objeto (por quem encontrou e por quem perdeu). Geolocalização dos objetos(Mapa com locais onde os itens foram encontrados).Histórico de registros(Objetos cadastrados, encontrados, devolvidos e não reclamados). Sistema de denúncias/relato incorreto (Caso alguém tente reivindicar um objeto que não é seu). Painel administrativo para responsáveis oficiais(validação de cadastros, gerenciamento de devoluções, remoção de itens irrelevantes ou proibidos). Política de armazenamento e prazo de retirada(Aviso automático quando se aproximar o prazo limite e possibilidade de descarte ou doação após determinado período.",Sistema vai ajudar muito a todos do instituto.
19/11/2025 14:44:58,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos","Confirmar de quem é o objeto no ato de entrega, para não ocorrer devolução para quem não pertence "
19/11/2025 16:54:47,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Às vezes,Não,Sim,Falta de controle ou registro dos objetos,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
20/11/2025 13:04:41,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,Não,Frequentemente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",Um lugar específico com divulgação sobre os achados e perdidos
20/11/2025 20:56:34,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Sim,Raramente,Não tenho certeza,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Notificação quando um item for encontrado, Área pública com lista atualizada de objetos",
24/11/2025 14:20:06,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Não,,Frequentemente,Sim,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Consulta de objetos perdidos, Notificação quando um item for encontrado, Confirmação segura de devolução, Área pública com lista atualizada de objetos",
20/12/2025 23:18:04,Concordo em participar da pesquisa de forma voluntária e anônima.,Estudante,Sim,Não,Frequentemente,Sim,Sim,Falta de divulgação sobre onde devolver ou buscar itens,"Cadastro de objetos encontrados, Notificação quando um item for encontrado",